ka,cs,fx,fy,fz
2.808724832214765,5.246541231217439,5.28068317164004e-10,5.28068317164004e-10,-7.468047754996777e-10
2.8355704697986575,6.476683203576872,6.705042359609892e-10,6.705042359609892e-10,-9.482405005807503e-10
2.8624161073825505,8.778076058748084,9.559415156605607e-10,9.559415156605605e-10,-1.3519116102774782e-09
2.889261744966443,12.307722481800617,1.446934170554973e-09,1.446934170554973e-09,-2.0462832426822544e-09
2.9161073825503356,11.903067512020133,1.5232212596688077e-09,1.5232212596688075e-09,-2.154169969848822e-09
2.942953020134228,7.06089232988124,9.496487898352185e-10,9.496487898352185e-10,-1.3430123115607625e-09
2.969798657718121,4.453532736837566,5.939605951596546e-10,5.939605951596545e-10,-8.399909528866867e-10
2.9966442953020134,3.4441214849468347,4.3946961367872753e-10,4.3946961367872753e-10,-6.215067170567299e-10
3.023489932885906,3.0393256999991367,3.683513901305872e-10,3.683513901305872e-10,-5.209299029504792e-10
3.0503355704697985,2.870941140125154,3.323475304837102e-10,3.323475304837102e-10,-4.700125245606727e-10
3.077181208053691,2.8051394168908774,3.127459268110832e-10,3.1274592681108323e-10,-4.4229154461477014e-10
3.1040268456375837,2.78817253553452,3.015903003814439e-10,3.015903003814439e-10,-4.265150346054455e-10
3.1308724832214763,2.796223844565212,2.951501858916245e-10,2.9515018589162445e-10,-4.1740729589165314e-10
3.1577181208053693,2.8178565950051664,2.9152441748773986e-10,2.915244174877399e-10,-4.122796616995115e-10
3.184563758389262,2.8472257956614175,2.896756426088371e-10,2.896756426088371e-10,-4.0966508729026957e-10
3.2114093959731544,2.8812042472479784,2.89005596971405e-10,2.89005596971405e-10,-4.0871749534890036e-10
3.238255033557047,2.9180692028704094,2.8915356792066983e-10,2.8915356792066983e-10,-4.089267588247695e-10
3.2651006711409396,2.9568629641413944,2.8989446420625093e-10,2.8989446420625093e-10,-4.0997454916976413e-10
3.291946308724832,2.9970649472026287,2.9108443534675354e-10,2.910844353467536e-10,-4.116574301560858e-10
3.3187919463087248,3.0384162728961677,2.9263054267031456e-10,2.9263054267031467e-10,-4.138439660552123e-10
3.3456375838926173,3.0808228794192907,2.94473223109128e-10,2.94473223109128e-10,-4.16449921585391e-10
3.37248322147651,3.124300908324488,2.9657586723402666e-10,2.9657586723402666e-10,-4.194235229597051e-10
3.3993288590604025,3.168945840064832,2.98918519859105e-10,2.9891851985910505e-10,-4.2273654915514354e-10
3.426174496644295,3.214915594354511,3.0149406961868653e-10,3.0149406961868653e-10,-4.263789431361388e-10
3.4530201342281877,3.2624223194237034,3.0430601184241517e-10,3.0430601184241517e-10,-4.303556480677804e-10
3.4798657718120807,3.3117300305424697,3.073672658052728e-10,3.073672658052728e-10,-4.3468493464713303e-10
3.5067114093959733,3.3631566489472897,3.1069975791202526e-10,3.1069975791202526e-10,-4.393978116343443e-10
3.533557046979866,3.4170798504780966,3.1433462543545844e-10,3.143346254354585e-10,-4.4453831398333417e-10
3.5604026845637584,3.4739467303553386,3.1831299345776793e-10,3.1831299345776793e-10,-4.501646016078447e-10
3.587248322147651,3.5342877835756905,3.2268735535906763e-10,3.2268735535906763e-10,-4.5635091169590063e-10
3.6140939597315436,3.598736194839914,3.2752366102417144e-10,3.275236610241715e-10,-4.6319051189360386e-10
3.640939597315436,3.66805401662101,3.329043004705469e-10,3.329043004705468e-10,-4.707999198114568e-10
3.6677852348993287,3.7431675848514177,3.3893227817743347e-10,3.3893227817743347e-10,-4.793248064440901e-10
3.6946308724832213,3.825215602982864,3.4573702351464317e-10,3.4573702351464317e-10,-4.889482133948787e-10
3.721476510067114,3.915614894142866,3.5348250210889695e-10,3.5348250210889695e-10,-4.999020241324442e-10
3.7483221476510065,4.016151140804944,3.623786226845622e-10,3.623786226845623e-10,-5.124830957729615e-10
3.775167785234899,4.12910539332987,3.726974377218138e-10,3.726974377218137e-10,-5.270761703749435e-10
3.802013422818792,4.257432299086006,3.8479641346454786e-10,3.8479641346454776e-10,-5.441867838498329e-10
3.8288590604026846,4.4050136343367665,3.991522451888287e-10,3.991522451888287e-10,-5.644890881909453e-10
3.8557046979865772,4.577021580242371,4.1641052487185377e-10,4.1641052487185377e-10,-5.888960924842729e-10
3.88255033557047,4.780440228354369,4.3745925157975437e-10,4.3745925157975437e-10,-6.186636227691202e-10
3.9093959731543624,5.024807150678392,4.635376890128988e-10,4.6353768901289883e-10,-6.555442705558218e-10
3.936241610738255,5.323231795326945,4.963951456965771e-10,4.963951456965772e-10,-7.020119429470134e-10
3.9630872483221475,5.693660634950028,5.385107889005698e-10,5.385107889005698e-10,-7.615727278789639e-10
3.98993288590604,6.159984501199074,5.933528608865241e-10,5.933528608865241e-10,-8.391314829229404e-10
4.016778523489933,6.751298334092856,6.65517732555903e-10,6.65517732555903e-10,-9.411884877352093e-10
4.043624161073826,7.493767088502803,7.601223309386688e-10,7.601223309386688e-10,-1.0749802028600843e-09
4.070469798657718,8.380153655606902,8.795416408217839e-10,8.795416408217838e-10,-1.2438653792829832e-09
