ld,cs,t0
(8.390281124497992+0j),(1.6080085942775835+0j),(-0.014090133347749147-0.11786263822769197j)
(8.399357429718876+0j),(1.6421248060282572+0j),(-0.014357995032844205-0.1189615190365398j)
(8.40843373493976+0j),(1.677466376803516+0j),(-0.014635358823467897-0.12008815551742077j)
(8.417510040160643+0j),(1.7140933430336778+0j),(-0.014922684079177417-0.12124354654599347j)
(8.426586345381526+0j),(1.7520694801268921+0j),(-0.015220458552146321-0.1224287392469951j)
(8.43566265060241+0j),(1.7914625854629773+0j),(-0.01552920052432178-0.12364483189926374j)
(8.444738955823293+0j),(1.8323447866537577+0j),(-0.015849461134599705-0.12489297704972253j)
(8.453815261044177+0j),(1.874792877673979+0j),(-0.016181826915536-0.12617438485370808j)
(8.46289156626506+0j),(1.918888685772313+0j),(-0.01652692256139605-0.1274903266606752j)
(8.471967871485944+0j),(1.9647194724164359+0j),(-0.016885413951917998-0.12884213886609602j)
(8.481044176706828+0j),(2.0123783719170922+0j),(-0.017258011459085898-0.13023122705236234j)
(8.490120481927711+0j),(2.0619648718193386+0j),(-0.017645473567519443-0.13165907044369338j)
(8.499196787148595+0j),(2.1135853396533224+0j),(-0.018048610842851073-0.1331272267024833j)
(8.508273092369478+0j),(2.1673536012097236+0j),(-0.01846829028673604-0.1346373370971845j)
(8.517349397590362+0j),(2.2233915761594747+0j),(-0.01890544012202504-0.13619113207480715j)
(8.526425702811245+0j),(2.281829977583449+0j),(-0.019361055057194026-0.13779043727438536j)
(8.535502008032129+0j),(2.3428090828316535+0j),(-0.01983620208549313-0.13943718002138672j)
(8.544578313253012+0j),(2.4064795841100337+0j),(-0.02033202688157201-0.14113339634706962j)
(8.553654618473896+0j),(2.4730035283159233+0j),(-0.020849760866707576-0.1428812385812381j)
(8.56273092369478+0j),(2.542555356934118+0j),(-0.02139072902337781-0.1446829835717602j)
(8.571807228915663+0j),(2.615323058293958+0j),(-0.021956358551011565-0.14654104158968909j)
(8.580883534136547+0j),(2.6915094462036984+0j),(-0.02254818846751936-0.1484579659848288j)
(8.58995983935743+0j),(2.771333580965409+0j),(-0.02316788027600006-0.15043646366329205j)
(8.599036144578314+0j),(2.8550323510733904+0j),(-0.02381722983312976-0.15247940646594094j)
(8.608112449799197+0j),(2.942862236571231+0j),(-0.02449818057561505-0.1545898435347536j)
(8.61718875502008+0j),(3.0351012781511506+0j),(-0.025212838284207378-0.15677101476313082j)
