dl,cs,cs0,t0
(0.11500215796288304+0j),(1.9330304861145604+0j),(1.9751617247149331+15.441436397197108j),(0.18252341712640846+0j)
(0.11475183426845058+0j),(2.027585176173132+0j),(2.0706430134415945+15.832814684620454j),(0.1894964308898837+0j)
(0.11450151057401813+0j),(2.1303127317616704+0j),(2.1743585389293485+16.247056665520375j),(0.19714194249052122+0j)
(0.11425118687958569+0j),(2.2422040638303855+0j),(2.2873051631331327+16.686185859011665j),(0.20555924900365277+0j)
(0.11400086318515323+0j),(2.3644059169784497+0j),(2.410636369541875+17.152466428978055j),(0.21486783881735877+0j)
(0.11375053949072075+0j),(2.498251160953758+0j),(2.5456926870613383+17.648438857537293j),(0.2252126771603501+0j)
(0.11350021579628829+0j),(2.6452961013747243+0j),(2.6940391596884363+18.17696180438184j),(0.236771192947314+0j)
(0.11324989210185585+0j),(2.807366679813944+0j),(2.857511737937954+18.741261305977392j),(0.24976261521038745+0j)
(0.1129995684074234+0j),(2.986615976213308+0j),(3.038275011860963+19.344988657186082j),(0.26446058809544476+0j)
(0.11274924471299094+0j),(3.185596119757016+0j),(3.238894399480532+19.992288503655512j),(0.28121040375398393+0j)
(0.11249892101855848+0j),(3.4073485742377785+0j),(3.4624267643546247+20.687878824313536j),(0.3004527866162406+0j)
(0.11224859732412602+0j),(3.655517767302296+0j),(3.712534436959761+21.437144544215737j),(0.3227569978248259+0j)
(0.11199827362969356+0j),(3.934494043676882+0j),(3.9936286171815523+22.246246410104533j),(0.34886711587272606+0j)
(0.1117479499352611+0j),(4.249592517252199+0j),(4.311048708343235+23.122246425251397j),(0.3797664725635719+0j)
(0.11149762624082865+0j),(4.607273464834741+0j),(4.671283148463596+24.073250753414282j),(0.41676534045341845+0j)
